 ,Label,Area,Mean,X,Y
101,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,77.5,497.5
102,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,238.5,497.5
103,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,275.5,507.5
104,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,43776.8,606.5,509.0
105,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,401.5,508.5
106,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,44126.3,230.2,511.2
107,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,46019.6,408.4,515.2
108,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,34078.0,239.0,519.5
109,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,51936.0,323.0,526.0
110,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,40631.0,400.5,526.5
111,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,34733.0,168.0,531.5
112,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,43776.8,470.5,537.5
113,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,456.5,546.5
114,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,485.5,547.5
115,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,34078.0,129.0,555.5
116,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,40958.8,448.5,557.0
117,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,36699.3,362.8,571.2
118,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,48659.2,273.0,572.0
119,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,39320.5,298.5,574.0
120,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,50570.7,477.3,576.3
121,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37026.5,309.0,576.5
122,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46529.2,589.4,582.6
123,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,43383.7,371.0,592.7
124,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,44344.7,480.3,596.9
125,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,256.5,596.5
126,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,46638.7,588.7,606.7
127,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,37354.3,85.2,612.8
128,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,45686.9,286.8,614.5
129,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,38173.5,421.0,619.0
130,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,44490.7,559.3,619.9
131,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,45437.2,240.5,622.0
132,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,41380.1,296.2,633.5
133,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,47184.5,342.0,633.5
134,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,48987.0,237.0,636.0
135,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,46154.9,500.5,642.2
136,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,42597.0,233.0,643.5
137,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,328.5,646.5
138,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,48004.0,228.0,648.0
139,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,12,46365.6,362.0,651.0
140,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,44039.2,522.9,658.3
141,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37026.5,190.5,668.0
142,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,43580.5,227.5,678.0
143,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,46747.8,8.7,679.3
144,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,40631.0,506.5,678.5
145,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,53902.2,275.0,680.0
146,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,41286.7,138.8,686.8
147,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,53410.5,29.7,694.3
148,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,40139.5,452.0,695.0
149,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,47621.7,176.2,704.2
150,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,44782.0,411.2,711.2
151,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,47184.8,14.0,724.0
152,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,37136.0,460.8,725.2
153,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,44891.0,32.0,728.5
154,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.5,114.5,729.0
155,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,38501.2,556.0,749.0
156,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,39320.5,381.0,761.5
157,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,36830.0,546.5,767.5
158,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,38927.4,520.9,773.7
159,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,39320.2,577.0,774.0
160,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,47676.5,264.0,785.0
161,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,41942.0,106.5,793.5
162,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,292.5,796.5
163,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,46529.2,580.0,801.0
164,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,44891.0,299.0,806.0
165,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,45874.0,605.0,808.0
166,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,41287.0,404.5,813.5
167,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,48167.8,213.0,816.0
168,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,46435.7,583.8,840.5
169,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,40762.2,591.3,854.1
170,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,44126.2,346.3,861.3
171,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,44317.5,474.6,863.6
172,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,45967.6,133.5,865.2
173,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,49806.1,466.2,866.5
174,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,36699.3,38.2,875.2
175,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,45218.8,472.0,881.0
176,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,219.5,882.5
177,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38337.5,588.0,894.5
178,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,50297.5,49.0,907.0
179,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,49151.0,37.0,910.5
180,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,7.5,919.5
