 ,Label,Area,Mean,X,Y
121,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,39648.0,466.0,260.5
122,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,42990.4,313.3,262.9
123,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,325.5,261.5
124,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,41286.7,210.2,262.8
125,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,36699.0,343.0,264.0
126,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,40631.0,138.5,265.5
127,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,36699.0,142.5,267.0
128,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,38228.0,196.8,268.8
129,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38665.0,246.0,273.5
130,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,619.5,273.5
131,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,13.5,275.5
132,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,36699.0,528.8,275.8
133,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,42160.7,277.8,282.8
134,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,36043.5,615.5,283.0
135,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,361.5,284.5
136,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39321.0,164.5,287.5
137,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,99.5,288.5
138,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38665.0,207.0,288.5
139,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,313.5,289.5
140,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,37572.7,455.8,289.8
141,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,40631.0,284.5,290.5
142,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,579.5,295.5
143,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,260.5,298.5
144,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37682.0,409.5,301.0
145,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,446.5,300.5
146,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,121.5,307.5
147,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,275.5,308.5
148,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,262.5,310.5
149,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,39757.3,327.2,315.2
150,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,43252.7,404.8,314.8
151,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36044.0,69.5,315.5
152,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39321.0,434.5,315.5
153,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,36480.5,114.5,317.0
154,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,62.5,319.5
155,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,51935.8,341.0,320.0
156,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.0,324.5,322.0
157,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,40958.8,453.0,322.0
158,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38665.0,161.0,323.5
159,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35060.5,553.5,327.0
160,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,276.5,332.5
161,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38010.0,366.5,332.5
162,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,14.5,333.5
163,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,174.5,334.5
164,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,384.5,334.5
165,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,42597.5,337.5,339.0
166,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37027.0,47.0,339.5
167,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,45219.0,347.5,340.5
168,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,40467.2,331.0,342.0
169,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,48823.0,592.5,342.0
170,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37026.5,407.0,343.5
171,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,37878.8,579.9,344.7
172,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37682.0,118.0,345.5
173,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,40631.0,284.5,347.5
174,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,295.5,348.5
175,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,40303.5,88.5,350.0
176,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37354.5,566.5,350.0
177,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38009.5,107.5,351.0
178,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35716.0,162.0,350.5
179,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,401.5,351.5
180,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,39320.5,547.5,352.0
181,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,33750.0,14.0,353.0
182,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.0,231.0,355.5
183,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,38009.5,336.0,358.0
184,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,619.5,358.5
185,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,35552.2,71.0,360.0
186,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,359.5,360.5
187,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,47021.0,228.0,364.0
188,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,259.5,364.5
189,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,386.5,364.5
190,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,43908.0,6.5,366.0
191,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,43580.5,102.0,365.5
192,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,43908.0,537.5,365.5
193,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,43416.5,58.0,367.0
