,image,cellid,transcnt,treat,labelid_cell,area_cell,major_axis_length_cell,minor_axis_length_cell,mean_intensity-1,mean_intensity-2,mean_intensity-3,zsum_intensity_0,zsum_intensity_1,zsum_intensity_2,zsum_intensity_3,labelid_nuc,cell_linkid,area_nuc,mean_intensity-0,eccentricity,major_axis_length_nuc,minor_axis_length_nuc
216,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x__c405_c488_c561_c640,8,1,C+A_48h,8,17909,198.8851641261237,122.66731406504618,5234.67636383941,8731.050198224357,1552.020213300575,202622187.0,378489104.0,1009547115.0,1344805.0,7,8,3913,7785.812675696397,0.8620918986963564,102.3261792803126,51.85399284233122
217,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,1,25,GL2+Puro_48h,1,149031,517.8425415720623,401.2208403099094,1400.255886359214,5105.533989572639,2004.6280706698608,804715868.0,49459167.0,1533848315.0,80180220.0,2,1,23570,6486.02706830717,0.7592484212313447,214.9701204334684,139.90275171870107
218,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,2,14,GL2+Puro_48h,2,89129,472.5520696827237,248.99419113896792,1462.520885458156,6718.48485902456,6326.134916805978,1021940513.0,26812898.0,1607727773.0,2572776282.0,3,2,19563,8719.919388641823,0.7956750955978252,204.2341681980244,123.70946616561938
219,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,3,5,GL2+Puro_48h,3,40413,431.3173199125928,139.08938305659498,1361.6860416202708,3609.05708559127,1742.7087570831168,46211814.0,17482925.0,174339610.0,4041842.0,4,3,2494,5264.176423416199,0.9336859604054714,97.87337371489645,35.047760542211776
220,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,4,23,GL2+Puro_48h,4,117950,436.9632222265524,351.7780625139957,1385.2727342094108,5095.2756676557865,3773.369410767274,785063750.0,32459393.0,1342889143.0,1174453655.0,5,4,24881,6216.89365379205,0.7238416563641865,218.44471884900204,150.7194566444035
221,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,1,19,GL2+Puro_48h,1,130989,518.3448426891299,359.214934359862,1206.4078739436136,4403.265090961837,2526.506721938483,303508106.0,19199513.0,895744840.0,257507018.0,1,1,9716,6186.145121449156,0.9374363423856934,193.2876736991932,67.29440312815275
222,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,2,1,GL2+Puro_48h,2,44730,471.45226103382174,137.4582166603202,1080.154527162978,3196.4720098367984,5239.683836351442,317422588.0,4068308.0,135980954.0,707498766.0,2,2,9192,6827.062989556136,0.9546870667740752,207.19340892755656,61.663141082523815
223,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,4,29,GL2+Puro_48h,4,200117,537.4149054959983,485.4437098761501,1219.061853815518,4797.81645237536,4634.383660558573,1935710610.0,35722415.0,1677188155.0,2981361012.0,3,4,27917,9729.853888311782,0.6011116476710205,212.0293087784568,169.44641446373822
224,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,1,2,GL2+Puro_48h,1,95381,439.3057723051408,299.9275119858049,1348.4780826370031,3937.163344900976,2331.99184323922,797218956.0,24885635.0,575014347.0,166134474.0,1,1,12706,9788.927671966,0.7877917583991506,166.7938850307188,102.7353047084778
225,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,2,8,GL2+Puro_48h,2,198105,648.0102509001358,403.7712716070385,1718.391570126953,3334.598616895081,6737.344322455264,2081120538.0,167540115.0,721155455.0,5693410038.0,2,2,29821,10004.09523490158,0.698246307636363,231.33099198867055,165.60004717859744
226,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,3,5,GL2+Puro_48h,3,102322,587.4875528783784,235.1923630702783,1589.689245714509,4153.377807314165,6550.700250190575,118422096.0,57595071.0,666875415.0,2377883259.0,3,3,2450,9359.155918367347,0.9419475380407432,101.2044736325719,33.98042280485729
227,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,1,1,GL2+Puro_48h,1,38536,273.57290024286004,210.76521650143343,1815.602034461283,5929.211412705004,6776.361376375337,462300149.0,25799150.0,765230381.0,1430492458.0,3,1,11921,7095.946564885497,0.5746707684430075,141.24221932478238,115.59047048718035
228,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,2,9,GL2+Puro_48h,2,62048,318.0866488085291,266.3376117536225,2089.287470990201,7106.419755673027,2084.690513795771,835934953.0,65297488.0,1533833236.0,50524201.0,2,2,17999,7930.050002777932,0.6837793343083042,177.81455863413106,129.74930130968815
229,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,3,7,GL2+Puro_48h,3,82602,489.02041905521753,257.8972128775036,2095.6186654076173,6441.36179511392,3093.300707004673,1732929389.0,70625423.0,1861331713.0,558670256.0,4,3,25222,9398.343588930298,0.6090206064114349,202.77704452368107,160.8335049202123
230,052121_Hela_CBS_GL2+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,4,14,GL2+Puro_48h,4,167737,510.19163613485983,441.1505988823599,1945.199830687326,5360.289113314296,3412.7641844077334,2239419603.0,164248911.0,2204299077.0,1354381806.0,5,4,28017,10711.83952600207,0.6411003471025302,216.52420491135183,166.17303056666498
